Pergunta	Opção Correta	Opção Errada 1	Opção Errada 2	Opção Errada 3	Justificação
Que tipo de transportador de glicose existe na membrana de um eritrócito?	Glut1	Glut2	Glut3	Glut4	
Quanto à recuperação do NAD+, qual das seguintes afirmações é verdadeira?	No shuttle do malato-aspartato, o aspartato sai da mitocôndria num antiporte com glutamato.	No shuttle do malato-aspartato, o alfa-cetoglutarato é transformado em aspartato por uma reação de trans-aminação.	No shuttle do glixerol-3-P, o rendimento é mais elevadado do que nos outros.	Acidose lática é uma condição associada normalmente à falta de lactato desidrogenase.	
Quanto à regulação da glicólise, a presença de ATP não é um inibidor de qual/quais enzimas?	Hexocinase	Fosfofrutocinase 1	Piruvato Cinase	É de todas elas.	
Qual das seguintes afirmações, referentes à regulação da glicólise é falsa?	A frutose-2,6-bifosfato é regulada por duas enzimas, a fosfofrutocinase-2 e a frutose-2,6-bifosfatase.	A proteína cinase A depende de cAMP para a sua atuação.	Na presença de insulina, temos frutose-2,6-bifosfato a estimular a PFK1.	No fígado, a piruvato cinase encontra-se ativa na sua forma desfosforilada.	
O transporte de glicose para o interior dos enterócitos ocorre:	Através de simporte, com Na+ por um transportador chamado SGLT1.	Para trazer uma molécula de glicose para o interior do enterócito, utiliza-se 1 ATP.  	Na bomba de Na+/K+, ocorre a passagem de 3 K+ para o interior da célula, ao passo que 2 Na+ saem para o exterior.	As Tight Junctions bloqueiam a passagem do Na+ intersticial para o lúmen intestinal.	
A entrada de frutose nas células do enterócito é medeada por:	Transportador Glut5.	SGLT1, em simporte com sódio, como a glucose.	Difusão passiva.	Através de uma associação com a bomba de sódio potássio, num antiporte com K+.	
Qual das seguintes não é uma função da Acetil-CoA	Gluconegénese	Gerar energia no ciclo de Krebbs	Síntese lipídica	Síntese de Colesterol	
Qual destas enzimas NÃO está envolvida na glicolise?	Piruvato desidrogenase	Fosfofrutocinase 1	Piruvato cinase	Hexacinase	
Qual destas enzimas NÃO está envolvida na gluconeogénse?	Piruvato cinase	PEPck	Piruvato carboxilase	Futose 2,6 Bifosfatase	
Qual o complexo com um sistema de braço periferico no qual reações RedOx induzem alterações conformacionais no braço membranar?	Complexo 1	Complexo 2	Complexo 3	Complexo 4	
Qual das combinações está errada?	Complexo 1 - citocromo c1	complexo 2 - centros Fe S	complexo 3 - citocromo b	complexo 4 - citocromo a	
A flatulência associada ao consumo de leguminosas deve-se à presença de doses abundantes de:	Rafinose	Lactose	Amilose	Fructose	Rafinose e estaquiose são compostos com carbonos não assimiláveis
Em muitas pessoas, a ingestão de leite provoca [maus sintomas] devido à presença de um açúcar nesse alimento. Nestas pessoas há uma deficiência enzimática na:	β-galactosidase	α-amilase	β-glucosidase	Isomaltase	
Um dos principais transportadores de glucose no tecido adiposo e músculo é o:	GLUT4	SGLT1	GLUT2	GLUT3	
A glucose atravessa a membrana apical do enterócito utilizando o:	SGLT1	GLUT3	GLUT2	GLUT1	
A glucocinase é transportada para o núcleo:	Quando a concentração de frutose-6-fostato é alta.	Quando a concentração de glucose é alta.	Apenas no miócito.	Apenas no neurónio.	Na glucocinase, a regulação é feita por dois compostos. Quando a concentração de Frutose-6-fosfato (F-6-P) é alta, a GK interage com a proteína reguladora (PR) sendo transportada para o núcleo, onde o complexo não tem atividade. Este processo é revertido pelo aumento da concentração de Glicose.
Relativamente ao shuttle do malato podemos dizer que:	Permite transferir o poder redutor do NADH citosólico para o NAD+ mitocondrial.	É energeticamente tão produtivo quanto o do glicerol-3-fosfato.	É particularmente utilizado numa situação de hipóxia.	Permite transferir o poder redutor do FADH2 citosólico para o FAD mitocondrial.	
O balanço energético, em ATPs, da conversão glucose -> piruvato em condições aeróbias é de:	2	4-6	6-8	32-34	
A piruvato cinase:	Tem como papel converter fosfoenolpiruvato em piruvato.	Oscila entre uma forma ativa/fosforilada e uma forma inativa/desfosforilada.	É ativada pela proteína cinase A.	É ativada pelo glucagon.	
A piruvato cinase:	É inbida pelo glucagon.	Oscila entre uma forma ativa/fosforilada e uma forma inativa/desfosforilada.	É ativada pela proteína cinase A.	Nenhuma das hipóteses anteriores.	
Os mecanismos de patogenicidade na galactosemia estão relacionados com:	A presença de quantidades variáveis de aldose redutase em diferentes tecidos/órgãos.	A depleção de galactitol em alguns tecidos/órgãos.	A depleção de sorbitol em alguns tecidos/órgão	Uma deficiência em aldolase B.	
